City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
86,ouallam,0,NE,1577297073,7,14.32,2.08,75.78,11.1
87,guerrero negro,59,MX,1577296791,60,27.97,-114.04,60.82,16.55
88,castro,90,CL,1577296793,82,-42.48,-73.76,55.4,2.24
89,pudozh,100,RU,1577297073,99,61.81,36.54,34.59,3.47
90,boralday,40,KZ,1577297073,85,43.36,76.86,12.2,4.47
91,trairi,28,BR,1577296863,39,-3.28,-39.27,93.22,13.13
92,vydrino,7,RU,1577297073,59,51.46,104.64,14.14,10.09
93,port hardy,40,CA,1577296786,100,50.7,-127.42,30.2,3.36
94,saquarema,20,BR,1577297074,65,-22.93,-42.51,84.2,11.41
95,bilibino,33,RU,1577296856,100,68.06,166.44,-27.76,0.6
96,arica,99,CL,1577297074,53,-18.48,-70.32,77.0,12.75
97,victoria,75,BN,1577296540,88,5.28,115.24,78.8,2.24
98,longyearbyen,75,NO,1577296853,78,78.22,15.63,14.0,25.28
99,tuktoyaktuk,90,CA,1577296780,67,69.44,-133.03,-25.6,11.41
100,sibu,75,MY,1577296933,94,2.29,111.83,77.0,1.41
101,torbay,90,CA,1577296829,92,47.66,-52.73,32.0,29.97
102,zeya,31,RU,1577297075,99,53.74,127.27,-33.57,0.98
103,balkanabat,0,TM,1577297075,28,39.51,54.36,52.05,4.0
104,kodiak,1,US,1577296793,54,39.95,-94.76,61.0,13.87
105,beyneu,22,KZ,1577297075,64,45.32,55.19,36.27,12.88
106,dulce nombre de culmi,1,HN,1577297075,46,15.08,-85.56,82.29,2.17
107,jamestown,0,AU,1577296787,39,-33.21,138.6,68.32,12.48
108,chino valley,75,US,1577297076,93,34.76,-112.45,42.01,6.93
109,merauke,81,ID,1577297076,91,-8.49,140.4,77.31,2.55
110,rawlins,90,US,1577296814,94,41.79,-107.24,32.0,6.93
111,morro bay,75,US,1577296845,76,35.37,-120.85,54.0,5.82
112,luderitz,37,NA,1577296831,90,-26.65,15.16,62.98,21.63
113,xining,7,CN,1577297076,89,36.62,101.77,4.53,1.21
114,verkhnevilyuysk,100,RU,1577297077,97,63.45,120.31,-23.46,6.67
115,altay,100,CN,1577297077,92,47.83,88.13,-0.54,2.82
116,upernavik,90,GL,1577296786,63,72.79,-56.15,8.87,8.59
117,tual,6,ID,1577297077,72,-5.67,132.75,84.18,6.26
118,aykhal,75,RU,1577297077,66,65.95,111.51,-29.2,8.95
119,baykit,100,RU,1577297077,99,61.68,96.39,-5.44,1.54
120,urucuca,75,BR,1577297077,79,-14.59,-39.28,84.2,5.82
121,abha,20,SA,1577296780,82,18.22,42.5,59.0,5.82
122,hilo,75,US,1577296631,78,19.71,-155.08,71.6,9.17
123,saldanha,100,PT,1577296789,73,41.42,-6.55,50.7,3.13
124,upington,20,ZA,1577297078,11,-28.46,21.24,89.6,12.75
125,yellowknife,90,CA,1577296795,84,62.45,-114.38,6.01,3.36
126,tecoanapa,20,MX,1577297078,70,16.99,-99.26,84.2,4.7
127,payo,100,ID,1577297078,94,-3.75,103.64,67.3,2.84
128,chokurdakh,100,RU,1577296813,96,70.62,147.9,-16.42,4.81
129,mossendjo,98,CG,1577297079,94,-2.95,12.72,74.59,2.66
130,geraldton,90,CA,1577296820,92,49.72,-86.95,17.6,11.41
131,pisco,36,PE,1577297079,30,-13.71,-76.2,73.0,8.05
132,tanete,99,ID,1577297079,94,-3.94,119.78,75.06,1.5
133,omboue,90,GA,1577297079,92,-1.57,9.26,77.41,3.94
134,kalga,0,RU,1577297079,98,50.92,118.9,-25.46,2.42
135,antofagasta,62,CL,1577296818,56,-23.65,-70.4,72.0,11.41
136,ayan,5,IR,1577297079,68,38.23,44.7,25.5,12.46
137,port shepstone,91,ZA,1577297080,97,-30.74,30.45,71.17,5.79
138,port elizabeth,20,US,1577296791,53,39.31,-74.98,52.0,3.0
139,dzhebariki-khaya,83,RU,1577297080,92,62.22,135.8,-46.1,0.65
140,najran,9,SA,1577297080,52,17.54,44.22,62.6,4.7
141,ossora,7,RU,1577297080,80,59.24,163.07,-0.49,8.21
142,okhotsk,51,RU,1577296783,76,59.36,143.24,-17.09,12.71
143,college,90,US,1577297080,82,64.86,-147.8,-11.0,2.01
144,akdepe,27,TM,1577297080,58,42.05,59.39,33.8,2.24
145,faya,20,SA,1577296857,82,18.39,42.45,59.0,5.82
146,itapetininga,0,BR,1577297081,38,-23.59,-48.05,85.84,1.92
147,cooma,37,AU,1577296833,93,-36.24,149.13,51.8,3.04
148,cabedelo,75,BR,1577297081,58,-6.97,-34.84,86.0,17.22
149,zychlin,90,PL,1577297081,93,52.24,19.63,39.99,4.7
150,souillac,19,FR,1577296823,87,45.6,-0.6,48.99,4.7
151,thompson,90,CA,1577296785,84,55.74,-97.86,-0.4,2.24
152,matara,100,BI,1577296818,95,-3.48,29.48,60.06,1.41
153,sinnamary,43,GF,1577297082,79,5.38,-52.96,80.26,13.65
154,kirakira,87,SB,1577296813,84,-10.46,161.92,74.71,4.54
155,kapaa,90,US,1577296791,100,22.08,-159.32,75.2,18.25
156,husavik,100,CA,1577296821,97,50.56,-96.99,19.99,2.46
157,touros,20,BR,1577296819,52,-5.2,-35.46,87.8,16.11
158,carlyle,90,CA,1577297082,92,49.63,-102.27,19.4,6.93
159,atar,0,MR,1577297082,6,20.52,-13.05,79.12,9.13
160,kieta,100,PG,1577296811,74,-6.22,155.63,80.8,6.73
161,vostok,46,RU,1577296856,88,46.45,135.83,-7.65,3.15
162,kahului,90,US,1577296653,100,20.89,-156.47,73.4,18.34
163,kabanjahe,40,ID,1577297083,94,3.1,98.49,78.8,4.7
164,acapulco,20,MX,1577296678,70,16.86,-99.88,84.2,4.7
165,dingle,100,PH,1577296848,89,11.0,122.67,73.27,3.18
166,hobart,90,AU,1577297071,93,-42.88,147.33,57.0,1.12
167,vardo,1,US,1577297083,56,39.62,-77.74,48.99,6.67
168,hermanus,41,ZA,1577296780,74,-34.42,19.24,64.0,8.99
169,ribeira grande,40,PT,1577297084,77,38.52,-28.7,64.4,23.04
170,hithadhoo,99,MV,1577296788,74,-0.6,73.08,82.72,3.96
171,zlobin,0,HR,1577297084,81,45.29,14.65,46.4,3.36
172,kaitangata,78,NZ,1577296799,85,-46.28,169.85,54.01,12.5
173,fortuna,1,US,1577296822,93,40.6,-124.16,46.99,5.82
174,namatanai,100,PG,1577296787,74,-3.66,152.44,82.74,6.11
175,walvis bay,48,NA,1577296799,80,-22.95,14.51,66.99,5.99
176,axim,0,GH,1577297084,67,4.87,-2.24,82.06,5.95
177,cruzeiro do sul,75,BR,1577297084,66,-7.63,-72.67,87.8,2.24
178,kaihua,100,CN,1577297084,97,29.14,118.41,52.0,2.26
179,puerto cabezas,75,NI,1577297085,74,14.04,-83.39,84.2,13.87
180,netrakona,7,BD,1577297085,57,24.88,90.72,59.09,4.43
181,atbasar,0,KZ,1577297085,76,51.81,68.36,4.59,7.2
182,astana,8,KZ,1577297085,77,51.13,71.43,5.0,8.95
183,chuy,0,UY,1577296788,52,-33.69,-53.46,81.45,12.21
184,creel,89,MX,1577297085,65,27.75,-107.63,46.45,13.8
185,san patricio,31,PY,1577296795,34,-26.98,-56.83,97.16,6.67
186,lompoc,40,US,1577296795,81,34.64,-120.46,54.0,6.93
187,sindor,100,RU,1577297086,95,62.87,51.9,9.5,5.35
188,rangapara,18,IN,1577297086,70,26.82,92.69,52.84,4.29
189,carnarvon,17,ZA,1577296833,25,-30.97,22.13,68.72,13.78
190,saint-augustin,90,CA,1577296818,62,45.63,-73.98,28.0,8.05
191,cayenne,75,GF,1577296842,70,4.94,-52.33,86.0,11.41
192,dudinka,40,RU,1577297086,75,69.41,86.18,-13.0,7.96
193,port lincoln,15,AU,1577296797,88,-34.72,135.86,62.8,11.97
194,nishihara,100,JP,1577297086,70,35.74,139.53,45.0,2.24
195,prince rupert,1,CA,1577297086,92,54.32,-130.32,30.2,4.7
196,bredasdorp,26,ZA,1577296631,52,-34.53,20.04,66.2,26.4
197,maromitsa,100,RU,1577297087,96,59.87,48.01,31.08,6.64
198,eyl,29,SO,1577297087,77,7.98,49.82,77.88,26.04
199,caravelas,87,BR,1577296838,68,-17.73,-39.27,83.26,15.82
200,jawhar,100,IN,1577297087,72,19.91,73.23,73.6,3.42
201,east london,75,ZA,1577296827,83,-33.02,27.91,71.6,5.82
202,blessington,75,IE,1577297087,93,53.17,-6.53,43.0,6.93
203,dunedin,66,NZ,1577296807,86,-45.87,170.5,55.0,7.0
204,chimore,60,BO,1577297087,65,-16.98,-65.13,89.31,3.76
205,brae,10,GB,1577296846,93,60.4,-1.35,39.2,4.7
206,port-cartier,20,CA,1577297087,56,50.03,-66.88,15.01,6.93
207,manono,100,CD,1577297088,95,-7.3,27.4,71.78,2.35
208,rawson,0,AR,1577296814,46,-43.3,-65.11,66.6,8.41
209,filadelfia,39,PY,1577297088,39,-22.35,-60.04,98.26,11.88
210,bam,0,IR,1577297088,32,29.11,58.36,55.35,2.39
211,saurimo,77,AO,1577297088,90,-9.66,20.4,69.64,4.03
212,cabo san lucas,20,MX,1577296784,60,22.89,-109.91,78.01,2.24
213,bathsheba,20,BB,1577297088,58,13.22,-59.52,87.8,18.34
214,sorong,100,ID,1577297089,96,-0.86,131.25,74.26,1.43
215,villaviciosa,95,ES,1577297089,67,43.48,-5.43,61.0,5.82
216,hovd,90,NO,1577296807,85,63.83,10.7,37.99,6.93
217,alofi,100,NU,1577296866,100,-19.06,-169.92,77.0,10.29
218,huarmey,34,PE,1577296791,48,-10.07,-78.15,81.25,11.97
219,lebu,66,ET,1577296799,66,8.96,38.73,61.03,4.34
